Name	Vendor	Part number	Count	Identifier
12.288 MHz crystal	Digikey	XC1771CT-ND	1	Y2
8 MHz crystal	Digikey	XC1271CT-ND	1	Y1
Power switcher	Digikey	296-34595-5-ND	1	U1
Encoder wheel	Digikey	P13381SCT-ND	1	S2
8-bit shift register	Digikey	568-2263-1-ND	1	U6
Green LED (1206)	Digikey	160-1169-1-ND	8	LED1-8
2.8V buck regulator	Digikey	LM3671MF-2.8/NOPBCT-ND	1	U5
3.3V buck regulator	Digikey	LM3671MF-3.3/NOPBCT-ND	1	U4
2.2uH inductor	Digikey	541-1236-1-ND	2	L1, L2
Slide switch	Digikey	401-1999-1-ND	1	S1
MicroSD holder	Digikey	732-3819-1-ND	1	U3
USB mini plug	Digikey	ED2992CT-ND	1	JP1
Audio jack	Digikey	CP-3523SJCT-ND	1	U7
6-pin FTDI header	Digikey	A106757-ND	1	JP2
6-pin SPI header	Digikey	A106478-ND	1	J1
Atmega32u4	Digikey	ATMEGA32U4-AURCT-ND	1	U9
Max1555 charger	Digikey	MAX1555EZK+TCT-ND	1	U2
				
10 Ohm 0603 resistor	Digikey	P10GCT-ND	3	R17, R18, R19
22 Ohm 0603 resistor	Digikey	P22GCT-ND	2	R1, R2
75 Ohm 0603 resistor	Digikey	P75GCT-ND	8	R24-31
100 Ohm 0603 resistor	Digikey	P100GCT-ND	2	R20, R21
392 Ohm 0603 resistor	Digikey	P392HCT-ND	1	R5
10 Kohm 0603 resistor	Digikey	P10KGCT-ND	7	R3, R4, R10, R11, R22, R23
100 Kohm 0603 resistor	Digikey	P100KGCT-ND	5	R7, R12,R13, R14, R16
1 MOhm 0603 resistor	Digikey	P1.0MGCT-ND	1	R15
				
33 pF 0603 capacitor	Digikey	1276-2267-1-ND	4	C5, C6, C11, C12
10 nF 0603 capacitor	Digikey	445-1311-1-ND	2	C28, C29
47 nF 0603 capacitor	Digikey	445-1313-1-ND	1	C27
0.1 uF 0603 capacitor	Digikey	445-1314-1-ND	12	C2, C3, C8, C15, C16, C17, C19, C20, C21, C22, C23, C24, C25
1 uF 0603 capacitor	Digikey	445-1322-1-ND	4	C4, C7, C18, C26
4.7 uF 0603 capacitor	Digikey	445-5178-1-ND	2	C9, C10
10 uF 0603 capacitor	Digikey	445-4112-1-ND	5	C1, C13, C14, C30, C31
				
1000 mAh Lithium battery	Sparkfun	PRT-00339	1	JP3
MP3 codec	Sparkfun	COM-09398	1	U8
